,date,veg,region,price
0,2016-01-01,えのきだけ,中国,314.0
1,2016-02-01,えのきだけ,中国,306.0
2,2016-03-01,えのきだけ,中国,245.0
3,2016-04-01,えのきだけ,中国,227.0
4,2016-05-01,えのきだけ,中国,232.0
5,2016-06-01,えのきだけ,中国,224.0
6,2016-07-01,えのきだけ,中国,208.0
7,2016-08-01,えのきだけ,中国,183.0
8,2016-09-01,えのきだけ,中国,246.0
9,2016-10-01,えのきだけ,中国,288.0
10,2016-11-01,えのきだけ,中国,328.0
11,2016-12-01,えのきだけ,中国,339.0
12,2017-01-01,えのきだけ,中国,298.0
13,2017-02-01,えのきだけ,中国,260.0
14,2017-03-01,えのきだけ,中国,188.0
15,2017-04-01,えのきだけ,中国,187.0
16,2017-05-01,えのきだけ,中国,192.0
17,2017-06-01,えのきだけ,中国,193.0
18,2017-07-01,えのきだけ,中国,193.0
19,2017-08-01,えのきだけ,中国,179.0
20,2017-09-01,えのきだけ,中国,250.0
21,2017-10-01,えのきだけ,中国,256.0
22,2017-11-01,えのきだけ,中国,310.0
23,2017-12-01,えのきだけ,中国,367.0
24,2018-01-01,えのきだけ,中国,388.0
25,2018-02-01,えのきだけ,中国,364.0
26,2018-03-01,えのきだけ,中国,220.0
27,2018-04-01,えのきだけ,中国,166.0
28,2018-05-01,えのきだけ,中国,189.0
29,2018-06-01,えのきだけ,中国,183.0
30,2018-07-01,えのきだけ,中国,195.0
31,2018-08-01,えのきだけ,中国,206.0
32,2018-09-01,えのきだけ,中国,284.0
33,2018-10-01,えのきだけ,中国,296.0
34,2018-11-01,えのきだけ,中国,298.0
35,2018-12-01,えのきだけ,中国,293.0
36,2019-01-01,えのきだけ,中国,293.0
37,2019-02-01,えのきだけ,中国,260.0
38,2019-03-01,えのきだけ,中国,223.0
39,2019-04-01,えのきだけ,中国,233.0
40,2019-05-01,えのきだけ,中国,251.0
41,2019-06-01,えのきだけ,中国,215.0
42,2019-07-01,えのきだけ,中国,208.0
43,2019-08-01,えのきだけ,中国,214.0
44,2019-09-01,えのきだけ,中国,270.0
45,2019-10-01,えのきだけ,中国,269.0
46,2019-11-01,えのきだけ,中国,286.0
47,2016-01-01,えのきだけ,九州,301.0
48,2016-02-01,えのきだけ,九州,316.0
49,2016-03-01,えのきだけ,九州,217.0
50,2016-04-01,えのきだけ,九州,182.0
51,2016-05-01,えのきだけ,九州,202.0
52,2016-06-01,えのきだけ,九州,195.0
53,2016-07-01,えのきだけ,九州,173.0
54,2016-08-01,えのきだけ,九州,119.0
55,2016-09-01,えのきだけ,九州,222.0
56,2016-10-01,えのきだけ,九州,243.0
57,2016-11-01,えのきだけ,九州,322.0
58,2016-12-01,えのきだけ,九州,296.0
59,2017-01-01,えのきだけ,九州,267.0
60,2017-02-01,えのきだけ,九州,257.0
61,2017-03-01,えのきだけ,九州,200.0
62,2017-04-01,えのきだけ,九州,160.0
63,2017-05-01,えのきだけ,九州,169.0
64,2017-06-01,えのきだけ,九州,195.0
65,2017-07-01,えのきだけ,九州,171.0
66,2017-08-01,えのきだけ,九州,137.0
67,2017-09-01,えのきだけ,九州,212.0
68,2017-10-01,えのきだけ,九州,222.0
69,2017-11-01,えのきだけ,九州,302.0
70,2017-12-01,えのきだけ,九州,372.0
71,2018-01-01,えのきだけ,九州,384.0
72,2018-02-01,えのきだけ,九州,338.0
73,2018-03-01,えのきだけ,九州,178.0
74,2018-04-01,えのきだけ,九州,135.0
75,2018-05-01,えのきだけ,九州,174.0
76,2018-06-01,えのきだけ,九州,167.0
77,2018-07-01,えのきだけ,九州,179.0
78,2018-08-01,えのきだけ,九州,163.0
79,2018-09-01,えのきだけ,九州,261.0
80,2018-10-01,えのきだけ,九州,295.0
81,2018-11-01,えのきだけ,九州,298.0
82,2018-12-01,えのきだけ,九州,281.0
83,2019-01-01,えのきだけ,九州,301.0
84,2019-02-01,えのきだけ,九州,294.0
85,2019-03-01,えのきだけ,九州,202.0
86,2019-04-01,えのきだけ,九州,255.0
87,2019-05-01,えのきだけ,九州,258.0
88,2019-06-01,えのきだけ,九州,242.0
89,2019-07-01,えのきだけ,九州,228.0
90,2019-08-01,えのきだけ,九州,195.0
91,2019-09-01,えのきだけ,九州,260.0
92,2019-10-01,えのきだけ,九州,255.0
93,2019-11-01,えのきだけ,九州,277.0
94,2016-01-01,えのきだけ,北海道,304.0
95,2016-02-01,えのきだけ,北海道,309.0
96,2016-03-01,えのきだけ,北海道,317.0
97,2016-04-01,えのきだけ,北海道,304.0
98,2016-05-01,えのきだけ,北海道,306.0
99,2016-06-01,えのきだけ,北海道,295.0
100,2016-07-01,えのきだけ,北海道,285.0
101,2016-08-01,えのきだけ,北海道,298.0
102,2016-09-01,えのきだけ,北海道,303.0
103,2016-10-01,えのきだけ,北海道,301.0
104,2016-11-01,えのきだけ,北海道,331.0
105,2016-12-01,えのきだけ,北海道,331.0
106,2017-01-01,えのきだけ,北海道,307.0
107,2017-02-01,えのきだけ,北海道,262.0
108,2017-03-01,えのきだけ,北海道,244.0
109,2017-04-01,えのきだけ,北海道,258.0
110,2017-05-01,えのきだけ,北海道,287.0
111,2017-06-01,えのきだけ,北海道,258.0
112,2017-07-01,えのきだけ,北海道,292.0
113,2017-08-01,えのきだけ,北海道,277.0
114,2017-09-01,えのきだけ,北海道,283.0
115,2017-10-01,えのきだけ,北海道,272.0
116,2017-11-01,えのきだけ,北海道,272.0
117,2017-12-01,えのきだけ,北海道,281.0
118,2018-01-01,えのきだけ,北海道,290.0
119,2018-02-01,えのきだけ,北海道,293.0
120,2018-03-01,えのきだけ,北海道,280.0
121,2018-04-01,えのきだけ,北海道,240.0
122,2018-05-01,えのきだけ,北海道,237.0
123,2018-06-01,えのきだけ,北海道,265.0
124,2018-07-01,えのきだけ,北海道,294.0
125,2018-08-01,えのきだけ,北海道,304.0
126,2018-09-01,えのきだけ,北海道,312.0
127,2018-10-01,えのきだけ,北海道,284.0
128,2018-11-01,えのきだけ,北海道,293.0
129,2018-12-01,えのきだけ,北海道,258.0
130,2019-01-01,えのきだけ,北海道,271.0
131,2019-02-01,えのきだけ,北海道,263.0
132,2019-03-01,えのきだけ,北海道,260.0
133,2019-04-01,えのきだけ,北海道,275.0
134,2019-05-01,えのきだけ,北海道,301.0
135,2019-06-01,えのきだけ,北海道,256.0
136,2019-07-01,えのきだけ,北海道,297.0
137,2019-08-01,えのきだけ,北海道,296.0
138,2019-09-01,えのきだけ,北海道,289.0
139,2019-10-01,えのきだけ,北海道,267.0
140,2019-11-01,えのきだけ,北海道,280.0
141,2016-01-01,えのきだけ,北陸,274.0
142,2016-02-01,えのきだけ,北陸,288.0
143,2016-03-01,えのきだけ,北陸,219.0
144,2016-04-01,えのきだけ,北陸,195.0
