,date,region,area,place,日最低気温0℃未満日数(日),日平均気温25℃以上日数(日),日最高気温25℃以上日数(日),最高気温(℃),最深積雪(cm),日最低気温25℃以上日数(日),日照時間(時間),日最低気温の平均(℃),日最高気温の平均(℃),日平均気温0℃未満日数(日),最低気温(℃),日照時間0.1時間未満日数(日),降水量の合計(mm),日最高気温0℃未満日数(日),日降水量の最大(mm),平均気温(℃),降雪量合計(cm)
0,2015-01-01,東北,岩手,雫石,30.0,0.0,0.0,5.2,65.0,0.0,85.4,-5.8,1.1,26.0,-15.9,4.0,30.5,11.0,10.5,-2.0,111.0
1,2015-02-01,東北,岩手,雫石,26.0,0.0,0.0,7.5,77.0,0.0,108.3,-5.1,2.7,19.0,-12.5,3.0,63.5,2.0,12.0,-0.8,126.0
2,2015-03-01,東北,岩手,雫石,22.0,0.0,0.0,17.4,87.0,0.0,151.8,-1.8,7.4,3.0,-7.6,5.0,144.0,2.0,49.5,2.8,158.0
3,2015-04-01,東北,岩手,雫石,7.0,0.0,3.0,28.5,0.0,0.0,192.1,2.2,15.7,0.0,-2.4,4.0,116.5,0.0,31.0,8.9,0.0
4,2015-05-01,東北,岩手,雫石,1.0,0.0,8.0,29.9,0.0,0.0,234.4,8.2,21.8,0.0,-0.2,1.0,101.0,0.0,39.5,15.3,0.0
5,2015-06-01,東北,岩手,雫石,0.0,0.0,13.0,28.4,0.0,0.0,171.4,13.1,23.4,0.0,7.5,5.0,87.5,0.0,39.0,18.1,0.0
6,2015-07-01,東北,岩手,雫石,0.0,7.0,26.0,33.6,0.0,0.0,189.1,18.0,27.7,0.0,10.9,4.0,144.5,0.0,43.5,22.6,0.0
7,2015-08-01,東北,岩手,雫石,0.0,8.0,21.0,32.8,0.0,0.0,135.7,18.4,27.0,0.0,13.9,7.0,196.0,0.0,65.0,22.1,0.0
8,2015-09-01,東北,岩手,雫石,0.0,0.0,8.0,26.9,0.0,0.0,133.2,13.1,23.0,0.0,6.2,6.0,162.5,0.0,68.0,17.5,0.0
9,2015-10-01,東北,岩手,雫石,3.0,0.0,0.0,22.0,0.0,0.0,157.5,4.3,16.3,0.0,-3.0,1.0,169.0,0.0,50.0,10.2,0.0
10,2015-11-01,東北,岩手,雫石,11.0,0.0,0.0,19.3,0.0,0.0,92.2,1.6,10.8,0.0,-4.0,8.0,132.5,0.0,21.0,6.1,0.0
11,2015-12-01,東北,岩手,雫石,26.0,0.0,0.0,10.5,25.0,0.0,122.6,-2.7,5.0,8.0,-12.1,3.0,89.5,3.0,43.5,1.1,55.0
12,2016-01-01,東北,岩手,雫石,30.0,0.0,0.0,5.8,37.0,0.0,95.8,-5.1,1.2,24.0,-13.7,2.0,50.5,9.0,11.0,-1.6,113.0
13,2016-02-01,東北,岩手,雫石,27.0,0.0,0.0,11.5,38.0,0.0,100.1,-6.1,2.1,22.0,-14.3,4.0,94.0,5.0,19.0,-1.7,123.0
14,2016-03-01,東北,岩手,雫石,26.0,0.0,0.0,18.5,36.0,0.0,198.0,-3.6,8.3,7.0,-9.6,3.0,43.5,1.0,18.0,2.5,37.0
15,2016-04-01,東北,岩手,雫石,11.0,0.0,0.0,20.8,0.0,0.0,157.0,2.0,14.0,0.0,-4.5,6.0,133.0,0.0,29.0,8.1,0.0
16,2016-05-01,東北,岩手,雫石,0.0,0.0,10.0,30.3,0.0,0.0,209.0,8.5,21.4,0.0,0.2,4.0,108.5,0.0,25.5,15.1,0.0
17,2016-06-01,東北,岩手,雫石,0.0,0.0,6.0,29.5,0.0,0.0,144.4,13.4,22.6,0.0,5.9,7.0,174.0,0.0,44.5,17.8,0.0
18,2016-07-01,東北,岩手,雫石,0.0,2.0,22.0,30.9,0.0,0.0,128.2,17.6,25.7,0.0,12.4,6.0,141.0,0.0,56.0,21.2,0.0
19,2016-08-01,東北,岩手,雫石,0.0,7.0,29.0,33.8,0.0,0.0,201.1,18.9,29.3,0.0,13.8,2.0,208.0,0.0,60.0,23.5,0.0
20,2016-09-01,東北,岩手,雫石,0.0,0.0,16.0,30.2,0.0,0.0,105.8,15.8,24.5,0.0,6.4,5.0,141.0,0.0,37.0,19.6,0.0
21,2016-10-01,東北,岩手,雫石,3.0,0.0,0.0,24.8,0.0,0.0,168.1,5.1,17.0,0.0,-2.9,2.0,200.0,0.0,64.5,10.9,0.0
22,2016-11-01,東北,岩手,雫石,19.0,0.0,0.0,15.6,1.0,0.0,98.0,-0.6,8.5,3.0,-6.0,4.0,74.0,0.0,18.0,3.6,2.0
23,2016-12-01,東北,岩手,雫石,28.0,0.0,0.0,13.7,13.0,0.0,95.0,-3.1,4.8,11.0,-7.1,5.0,88.5,1.0,21.5,0.9,48.0
24,2017-01-01,東北,岩手,雫石,30.0,0.0,0.0,7.2,30.0,0.0,87.7,-7.4,1.4,27.0,-17.4,4.0,46.0,10.0,12.0,-2.3,109.0
25,2017-02-01,東北,岩手,雫石,28.0,0.0,0.0,10.2,47.0,0.0,77.6,-5.4,2.2,19.0,-16.2,4.0,84.5,4.0,21.5,-1.3,131.0
26,2017-03-01,東北,岩手,雫石,29.0,0.0,0.0,11.5,44.0,0.0,119.7,-4.2,5.2,7.0,-14.8,5.0,51.0,0.0,14.0,0.7,58.0
27,2017-04-01,東北,岩手,雫石,7.0,0.0,0.0,22.9,0.0,0.0,151.7,2.0,14.0,0.0,-3.3,2.0,113.5,0.0,28.0,8.1,0.0
28,2017-05-01,東北,岩手,雫石,1.0,0.0,7.0,28.3,0.0,0.0,214.7,8.5,20.7,0.0,-0.4,4.0,86.0,0.0,23.5,14.9,0.0
